n,size,sparsity,compression,compressed_size,ratio,time
16,2048,0.05,Bzip2,246,0.1201171875,8.2042e-5
16,2048,0.05,LZ4Fast,244,0.119140625,6.5e-6
16,2048,0.05,LZ4Frame,245,0.11962890625,1.3459e-5
16,2048,0.05,Xz,260,0.126953125,0.000324125
16,2048,0.05,Zlib,196,0.095703125,3.9125e-5
16,2048,0.05,Zstd,207,0.10107421875,6.9041e-5
16,2048,0.1,Bzip2,443,0.21630859375,0.000124125
16,2048,0.1,LZ4Fast,404,0.197265625,2.75e-6
16,2048,0.1,LZ4Frame,405,0.19775390625,2.75e-6
16,2048,0.1,Xz,400,0.1953125,0.000358959
16,2048,0.1,Zlib,335,0.16357421875,3.4833e-5
16,2048,0.1,Zstd,347,0.16943359375,1.6542e-5
16,2048,0.15,Bzip2,481,0.23486328125,0.00938925
16,2048,0.15,LZ4Fast,465,0.22705078125,5.292e-6
16,2048,0.15,LZ4Frame,464,0.2265625,5.166e-6
16,2048,0.15,Xz,440,0.21484375,0.000423958
16,2048,0.15,Zlib,378,0.1845703125,4.0417e-5
16,2048,0.15,Zstd,385,0.18798828125,7.975e-5
16,2048,0.2,Bzip2,613,0.29931640625,0.000145583
16,2048,0.2,LZ4Fast,615,0.30029296875,2.959e-6
16,2048,0.2,LZ4Frame,616,0.30078125,2.583e-6
16,2048,0.2,Xz,580,0.283203125,0.000442708
16,2048,0.2,Zlib,518,0.2529296875,4.2292e-5
16,2048,0.2,Zstd,532,0.259765625,1.7916e-5
16,2048,0.25,Bzip2,872,0.42578125,0.000212958
16,2048,0.25,LZ4Fast,836,0.408203125,3.208e-6
16,2048,0.25,LZ4Frame,833,0.40673828125,3.417e-6
16,2048,0.25,Xz,776,0.37890625,0.000432084
16,2048,0.25,Zlib,735,0.35888671875,4.8708e-5
16,2048,0.25,Zstd,727,0.35498046875,8.025e-5
16,2048,0.3,Bzip2,904,0.44140625,0.000217459
16,2048,0.3,LZ4Fast,882,0.4306640625,3.084e-6
16,2048,0.3,LZ4Frame,878,0.4287109375,4.5e-6
16,2048,0.3,Xz,808,0.39453125,0.000459167
16,2048,0.3,Zlib,761,0.37158203125,5.4084e-5
16,2048,0.3,Zstd,754,0.3681640625,1.7333e-5
16,2048,0.35,Bzip2,981,0.47900390625,0.00236175
16,2048,0.35,LZ4Fast,917,0.44775390625,3.834e-6
16,2048,0.35,LZ4Frame,923,0.45068359375,3.333e-6
16,2048,0.35,Xz,872,0.42578125,0.00047825
16,2048,0.35,Zlib,824,0.40234375,5.1333e-5
16,2048,0.35,Zstd,825,0.40283203125,5.1917e-5
16,2048,0.4,Bzip2,995,0.48583984375,0.000231916
16,2048,0.4,LZ4Fast,933,0.45556640625,3.166e-6
16,2048,0.4,LZ4Frame,940,0.458984375,8.291e-6
16,2048,0.4,Xz,872,0.42578125,0.000448291
16,2048,0.4,Zlib,833,0.40673828125,5.0583e-5
16,2048,0.4,Zstd,827,0.40380859375,9.6167e-5
16,2048,0.45,Bzip2,1305,0.63720703125,0.000268958
16,2048,0.45,LZ4Fast,1204,0.587890625,3.458e-6
16,2048,0.45,LZ4Frame,1205,0.58837890625,2.917e-6
16,2048,0.45,Xz,1132,0.552734375,0.000412792
16,2048,0.45,Zlib,1108,0.541015625,5.9958e-5
16,2048,0.45,Zstd,1079,0.52685546875,1.8291e-5
16,2048,0.5,Bzip2,1326,0.6474609375,0.00027825
16,2048,0.5,LZ4Fast,1236,0.603515625,3.333e-6
16,2048,0.5,LZ4Frame,1241,0.60595703125,4.958e-6
16,2048,0.5,Xz,1172,0.572265625,0.000402875
16,2048,0.5,Zlib,1142,0.5576171875,6.1416e-5
16,2048,0.5,Zstd,1124,0.548828125,1.7041e-5
16,2048,0.55,Bzip2,1379,0.67333984375,0.000486584
16,2048,0.55,LZ4Fast,1243,0.60693359375,3.334e-6
16,2048,0.55,LZ4Frame,1248,0.609375,2.75e-6
16,2048,0.55,Xz,1184,0.578125,0.000404625
16,2048,0.55,Zlib,1158,0.5654296875,5.6666e-5
16,2048,0.55,Zstd,1139,0.55615234375,4.175e-5
16,2048,0.6,Bzip2,1687,0.82373046875,0.000347042
16,2048,0.6,LZ4Fast,1467,0.71630859375,4.542e-6
16,2048,0.6,LZ4Frame,1473,0.71923828125,3.875e-6
16,2048,0.6,Xz,1400,0.68359375,0.000360125
16,2048,0.6,Zlib,1367,0.66748046875,5.6292e-5
16,2048,0.6,Zstd,1360,0.6640625,7.1125e-5
16,2048,0.65,Bzip2,1579,0.77099609375,0.000529167
16,2048,0.65,LZ4Fast,1399,0.68310546875,3.333e-6
16,2048,0.65,LZ4Frame,1405,0.68603515625,2.792e-6
16,2048,0.65,Xz,1336,0.65234375,0.000374291
16,2048,0.65,Zlib,1302,0.6357421875,5.6459e-5
16,2048,0.65,Zstd,1291,0.63037109375,5.5667e-5
16,2048,0.7,Bzip2,1931,0.94287109375,0.000520791
16,2048,0.7,LZ4Fast,1675,0.81787109375,3.541e-6
16,2048,0.7,LZ4Frame,1681,0.82080078125,2.917e-6
16,2048,0.7,Xz,1620,0.791015625,0.000340666
16,2048,0.7,Zlib,1583,0.77294921875,6.4334e-5
16,2048,0.7,Zstd,1604,0.783203125,1.8542e-5
16,2048,0.75,Bzip2,1936,0.9453125,0.000511083
16,2048,0.75,LZ4Fast,1689,0.82470703125,3.417e-6
16,2048,0.75,LZ4Frame,1694,0.8271484375,2.875e-6
16,2048,0.75,Xz,1636,0.798828125,0.00033725
16,2048,0.75,Zlib,1608,0.78515625,5.7167e-5
16,2048,0.75,Zstd,1621,0.79150390625,5.3042e-5
16,2048,0.8,Bzip2,1985,0.96923828125,0.000526041
16,2048,0.8,LZ4Fast,1724,0.841796875,3.333e-6
16,2048,0.8,LZ4Frame,1731,0.84521484375,2.958e-6
16,2048,0.8,Xz,1676,0.818359375,0.000324625
16,2048,0.8,Zlib,1645,0.80322265625,5.9917e-5
16,2048,0.8,Zstd,1663,0.81201171875,6.6458e-5
16,2048,0.85,Bzip2,2154,1.0517578125,0.00051975
16,2048,0.85,LZ4Fast,1868,0.912109375,3.166e-6
16,2048,0.85,LZ4Frame,1874,0.9150390625,2.958e-6
16,2048,0.85,Xz,1828,0.892578125,0.000301709
16,2048,0.85,Zlib,1789,0.87353515625,5.3666e-5
16,2048,0.85,Zstd,1827,0.89208984375,6.0375e-5
16,2048,0.9,Bzip2,2218,1.0830078125,0.00053475
16,2048,0.9,LZ4Fast,1922,0.9384765625,3.0e-6
16,2048,0.9,LZ4Frame,1924,0.939453125,2.583e-6
16,2048,0.9,Xz,1892,0.923828125,0.00029475
16,2048,0.9,Zlib,1842,0.8994140625,5.4667e-5
16,2048,0.9,Zstd,1853,0.90478515625,4.6e-5
16,2048,0.95,Bzip2,2342,1.1435546875,0.000524583
16,2048,0.95,LZ4Fast,2010,0.9814453125,2.5e-6
16,2048,0.95,LZ4Frame,2015,0.98388671875,2.209e-6
16,2048,0.95,Xz,1996,0.974609375,0.000288208
16,2048,0.95,Zlib,1947,0.95068359375,5.0458e-5
16,2048,0.95,Zstd,1952,0.953125,4.825e-5
16,2048,1.0,Bzip2,2403,1.17333984375,0.000545125
16,2048,1.0,LZ4Fast,2066,1.0087890625,1.75e-6
16,2048,1.0,LZ4Frame,2063,1.00732421875,1.5e-6
16,2048,1.0,Xz,2056,1.00390625,0.000285167
16,2048,1.0,Zlib,2015,0.98388671875,4.9458e-5
16,2048,1.0,Zstd,2011,0.98193359375,3.7375e-5
32,8192,0.05,Bzip2,716,0.08740234375,0.000346125
32,8192,0.05,LZ4Fast,802,0.097900390625,5.541e-6
32,8192,0.05,LZ4Frame,718,0.087646484375,3.125e-6
32,8192,0.05,Xz,672,0.08203125,0.000640333
32,8192,0.05,Zlib,614,0.074951171875,7.0166e-5
32,8192,0.05,Zstd,608,0.07421875,3.9459e-5
32,8192,0.1,Bzip2,1120,0.13671875,0.000422667
32,8192,0.1,LZ4Fast,1209,0.1475830078125,5.375e-6
32,8192,0.1,LZ4Frame,1128,0.1376953125,4.041e-6
32,8192,0.1,Xz,988,0.12060546875,0.000881125
32,8192,0.1,Zlib,950,0.115966796875,8.2458e-5
32,8192,0.1,Zstd,939,0.1146240234375,4.1167e-5
32,8192,0.15,Bzip2,1649,0.2012939453125,0.000511708
32,8192,0.15,LZ4Fast,1833,0.2237548828125,6.916e-6
32,8192,0.15,LZ4Frame,1741,0.2125244140625,5.333e-6
32,8192,0.15,Xz,1516,0.18505859375,0.001167209
32,8192,0.15,Zlib,1484,0.18115234375,8.8875e-5
32,8192,0.15,Zstd,1481,0.1807861328125,4.4792e-5
32,8192,0.2,Bzip2,2105,0.2569580078125,0.000580833
32,8192,0.2,LZ4Fast,2334,0.284912109375,8.667e-6
32,8192,0.2,LZ4Frame,2232,0.2724609375,6.458e-6
32,8192,0.2,Xz,1940,0.23681640625,0.00133725
32,8192,0.2,Zlib,1946,0.237548828125,0.000119417
32,8192,0.2,Zstd,1904,0.232421875,5.2042e-5
32,8192,0.25,Bzip2,2498,0.304931640625,0.000635041
32,8192,0.25,LZ4Fast,2798,0.341552734375,1.0167e-5
32,8192,0.25,LZ4Frame,2708,0.33056640625,7.375e-6
32,8192,0.25,Xz,2344,0.2861328125,0.001445375
32,8192,0.25,Zlib,2337,0.2852783203125,0.000107708
