n,size,func,p,q,compression,compressed_size,ratio,time
256,524288,sin(20x)cos(20y),20,20,Bzip2,3330,0.006351470947265625,0.099225105
256,524288,sin(20x)cos(20y),20,20,LZ4Fast,323983,0.6179485321044922,0.000769195
256,524288,sin(20x)cos(20y),20,20,LZ4Frame,8884,0.01694488525390625,5.3063e-5
256,524288,sin(20x)cos(20y),20,20,Xz,1504,0.00286865234375,0.008283536
256,524288,sin(20x)cos(20y),20,20,Zlib,4403,0.008398056030273438,0.001687389
256,524288,sin(20x)cos(20y),20,20,Zstd,1617,0.0030841827392578125,0.000208711
512,2097152,sin(20x)cos(20y),20,20,Bzip2,21600,0.0102996826171875,0.548787405
512,2097152,sin(20x)cos(20y),20,20,LZ4Fast,1795386,0.8561067581176758,0.002388816
512,2097152,sin(20x)cos(20y),20,20,LZ4Frame,94792,0.045200347900390625,0.000322371
512,2097152,sin(20x)cos(20y),20,20,Xz,2944,0.00140380859375,0.02848868
512,2097152,sin(20x)cos(20y),20,20,Zlib,15388,0.0073375701904296875,0.006389526
512,2097152,sin(20x)cos(20y),20,20,Zstd,3557,0.0016961097717285156,0.000606599
1024,8388608,sin(20x)cos(20y),20,20,Bzip2,134352,0.016016006469726562,2.206821184
1024,8388608,sin(20x)cos(20y),20,20,LZ4Fast,7752065,0.924118161201477,0.008166765
1024,8388608,sin(20x)cos(20y),20,20,LZ4Frame,521483,0.06216561794281006,0.001192562
1024,8388608,sin(20x)cos(20y),20,20,Xz,6100,0.0007271766662597656,0.110082352
1024,8388608,sin(20x)cos(20y),20,20,Zlib,59156,0.007051944732666016,0.026335167
1024,8388608,sin(20x)cos(20y),20,20,Zstd,7759,0.0009249448776245117,0.001664544
2048,33554432,sin(20x)cos(20y),20,20,Bzip2,916272,0.02730703353881836,8.248071251
2048,33554432,sin(20x)cos(20y),20,20,LZ4Fast,32444793,0.9669301807880402,0.05447244
2048,33554432,sin(20x)cos(20y),20,20,LZ4Frame,4231436,0.1261066198348999,0.138838262
2048,33554432,sin(20x)cos(20y),20,20,Xz,14240,0.00042438507080078125,0.453117892
2048,33554432,sin(20x)cos(20y),20,20,Zlib,240246,0.007159888744354248,0.107018889
2048,33554432,sin(20x)cos(20y),20,20,Zstd,17647,0.0005259215831756592,0.007226378
4096,134217728,sin(20x)cos(20y),20,20,Bzip2,6991007,0.05208706110715866,32.747024356
4096,134217728,sin(20x)cos(20y),20,20,LZ4Fast,132579693,0.9877956882119179,0.4082712
4096,134217728,sin(20x)cos(20y),20,20,LZ4Frame,33880076,0.25242623686790466,0.044163429
4096,134217728,sin(20x)cos(20y),20,20,Xz,37656,0.00028055906295776367,2.261137123
4096,134217728,sin(20x)cos(20y),20,20,Zlib,53176383,0.3961949273943901,1.706046241
4096,134217728,sin(20x)cos(20y),20,20,Zstd,53602,0.00039936602115631104,0.023067443
16,2048,sin(25x)cos(25y),25,25,Bzip2,216,0.10546875,0.000145494
16,2048,sin(25x)cos(25y),25,25,LZ4Fast,135,0.06591796875,7.613e-6
16,2048,sin(25x)cos(25y),25,25,LZ4Frame,133,0.06494140625,7.25e-6
16,2048,sin(25x)cos(25y),25,25,Xz,176,0.0859375,0.001244114
16,2048,sin(25x)cos(25y),25,25,Zlib,123,0.06005859375,3.9668e-5
16,2048,sin(25x)cos(25y),25,25,Zstd,113,0.05517578125,8.014e-5
32,8192,sin(25x)cos(25y),25,25,Bzip2,427,0.0521240234375,0.000491688
32,8192,sin(25x)cos(25y),25,25,LZ4Fast,338,0.041259765625,7.797e-6
32,8192,sin(25x)cos(25y),25,25,LZ4Frame,259,0.0316162109375,5.529e-6
32,8192,sin(25x)cos(25y),25,25,Xz,296,0.0361328125,0.001690135
32,8192,sin(25x)cos(25y),25,25,Zlib,273,0.0333251953125,6.2867e-5
32,8192,sin(25x)cos(25y),25,25,Zstd,210,0.025634765625,7.96e-5
64,32768,sin(25x)cos(25y),25,25,Bzip2,851,0.025970458984375,0.004138809
64,32768,sin(25x)cos(25y),25,25,LZ4Fast,944,0.02880859375,1.6912e-5
64,32768,sin(25x)cos(25y),25,25,LZ4Frame,540,0.0164794921875,1.7402e-5
64,32768,sin(25x)cos(25y),25,25,Xz,480,0.0146484375,0.002367493
64,32768,sin(25x)cos(25y),25,25,Zlib,573,0.017486572265625,0.000148469
64,32768,sin(25x)cos(25y),25,25,Zstd,383,0.011688232421875,0.000353522
128,131072,sin(25x)cos(25y),25,25,Bzip2,1712,0.0130615234375,0.01854368
128,131072,sin(25x)cos(25y),25,25,LZ4Fast,2973,0.02268218994140625,4.7859e-5
128,131072,sin(25x)cos(25y),25,25,LZ4Frame,1354,0.0103302001953125,1.7455e-5
128,131072,sin(25x)cos(25y),25,25,Xz,840,0.00640869140625,0.00277645
128,131072,sin(25x)cos(25y),25,25,Zlib,1470,0.0112152099609375,0.000481692
128,131072,sin(25x)cos(25y),25,25,Zstd,787,0.00600433349609375,9.4149e-5
256,524288,sin(25x)cos(25y),25,25,Bzip2,3278,0.006252288818359375,0.106272626
256,524288,sin(25x)cos(25y),25,25,LZ4Fast,302840,0.5776214599609375,0.000764622
256,524288,sin(25x)cos(25y),25,25,LZ4Frame,9008,0.017181396484375,5.5155e-5
256,524288,sin(25x)cos(25y),25,25,Xz,1484,0.00283050537109375,0.008250826
256,524288,sin(25x)cos(25y),25,25,Zlib,4379,0.008352279663085938,0.001699185
256,524288,sin(25x)cos(25y),25,25,Zstd,1560,0.0029754638671875,0.000211834
512,2097152,sin(25x)cos(25y),25,25,Bzip2,21686,0.010340690612792969,0.591766992
512,2097152,sin(25x)cos(25y),25,25,LZ4Fast,1800505,0.8585476875305176,0.002364282
512,2097152,sin(25x)cos(25y),25,25,LZ4Frame,66379,0.031651973724365234,0.000240007
512,2097152,sin(25x)cos(25y),25,25,Xz,2952,0.001407623291015625,0.028785065
512,2097152,sin(25x)cos(25y),25,25,Zlib,15404,0.0073451995849609375,0.00645444
512,2097152,sin(25x)cos(25y),25,25,Zstd,3558,0.0016965866088867188,0.000875446
1024,8388608,sin(25x)cos(25y),25,25,Bzip2,134557,0.016040444374084473,2.227106277
