n,size,func,p,q,compression,compressed_size,ratio,time
16,2048,sin(0x)cos(0y),0,0,Bzip2,52,0.025390625,9.5016e-5
16,2048,sin(0x)cos(0y),0,0,LZ4Fast,204,0.099609375,7.209e-6
16,2048,sin(0x)cos(0y),0,0,LZ4Frame,202,0.0986328125,1.1566e-5
16,2048,sin(0x)cos(0y),0,0,Xz,88,0.04296875,0.002497807
16,2048,sin(0x)cos(0y),0,0,Zlib,35,0.01708984375,2.0216e-5
16,2048,sin(0x)cos(0y),0,0,Zstd,109,0.05322265625,0.000464441
32,8192,sin(0x)cos(0y),0,0,Bzip2,54,0.006591796875,0.021282811
32,8192,sin(0x)cos(0y),0,0,LZ4Fast,461,0.0562744140625,1.7174e-5
32,8192,sin(0x)cos(0y),0,0,LZ4Frame,378,0.046142578125,6.96e-6
32,8192,sin(0x)cos(0y),0,0,Xz,148,0.01806640625,0.002015424
32,8192,sin(0x)cos(0y),0,0,Zlib,85,0.0103759765625,5.3827e-5
32,8192,sin(0x)cos(0y),0,0,Zstd,135,0.0164794921875,7.9157e-5
64,32768,sin(0x)cos(0y),0,0,Bzip2,58,0.00177001953125,0.002120118
64,32768,sin(0x)cos(0y),0,0,LZ4Fast,1137,0.034698486328125,1.7165e-5
64,32768,sin(0x)cos(0y),0,0,LZ4Frame,730,0.02227783203125,1.012e-5
64,32768,sin(0x)cos(0y),0,0,Xz,200,0.006103515625,0.001689876
64,32768,sin(0x)cos(0y),0,0,Zlib,161,0.004913330078125,0.000109554
64,32768,sin(0x)cos(0y),0,0,Zstd,214,0.00653076171875,0.000464052
128,131072,sin(0x)cos(0y),0,0,Bzip2,61,0.00046539306640625,0.007204578
128,131072,sin(0x)cos(0y),0,0,LZ4Fast,3393,0.02588653564453125,5.1472e-5
128,131072,sin(0x)cos(0y),0,0,LZ4Frame,1703,0.01299285888671875,2.6653e-5
128,131072,sin(0x)cos(0y),0,0,Xz,436,0.003326416015625,0.004435742
128,131072,sin(0x)cos(0y),0,0,Zlib,426,0.0032501220703125,0.000424959
128,131072,sin(0x)cos(0y),0,0,Zstd,418,0.0031890869140625,0.000104703
256,524288,sin(0x)cos(0y),0,0,Bzip2,62,0.000118255615234375,0.029401957
256,524288,sin(0x)cos(0y),0,0,LZ4Fast,11008,0.02099609375,0.000156535
256,524288,sin(0x)cos(0y),0,0,LZ4Frame,4469,0.008523941040039062,3.7416e-5
256,524288,sin(0x)cos(0y),0,0,Xz,964,0.00183868408203125,0.010863817
256,524288,sin(0x)cos(0y),0,0,Zlib,1146,0.002185821533203125,0.001616907
256,524288,sin(0x)cos(0y),0,0,Zstd,906,0.001728057861328125,0.000217251
512,2097152,sin(0x)cos(0y),0,0,Bzip2,63,3.0040740966796875e-5,0.142734362
512,2097152,sin(0x)cos(0y),0,0,LZ4Fast,41472,0.019775390625,0.00066141
512,2097152,sin(0x)cos(0y),0,0,LZ4Frame,13229,0.006308078765869141,0.000114428
512,2097152,sin(0x)cos(0y),0,0,Xz,2304,0.0010986328125,0.030658317
512,2097152,sin(0x)cos(0y),0,0,Zlib,3546,0.0016908645629882812,0.006367446
512,2097152,sin(0x)cos(0y),0,0,Zstd,2521,0.0012021064758300781,0.000894256
1024,8388608,sin(0x)cos(0y),0,0,Bzip2,235,2.8014183044433594e-5,0.53815774
1024,8388608,sin(0x)cos(0y),0,0,LZ4Fast,161792,0.019287109375,0.00289096
1024,8388608,sin(0x)cos(0y),0,0,LZ4Frame,43661,0.00520479679107666,0.027231764
1024,8388608,sin(0x)cos(0y),0,0,Xz,4872,0.0005807876586914062,0.251078347
1024,8388608,sin(0x)cos(0y),0,0,Zlib,12218,0.0014564990997314453,0.025286484
1024,8388608,sin(0x)cos(0y),0,0,Zstd,8147,0.0009711980819702148,0.00313177
2048,33554432,sin(0x)cos(0y),0,0,Bzip2,852,2.5391578674316406e-5,2.242646591
2048,33554432,sin(0x)cos(0y),0,0,LZ4Fast,638976,0.01904296875,0.011799213
2048,33554432,sin(0x)cos(0y),0,0,LZ4Frame,160269,0.00477638840675354,0.024992264
2048,33554432,sin(0x)cos(0y),0,0,Xz,13092,0.00039017200469970703,0.518119746
2048,33554432,sin(0x)cos(0y),0,0,Zlib,44955,0.0013397634029388428,0.099837675
2048,33554432,sin(0x)cos(0y),0,0,Zstd,17948,0.0005348920822143555,0.00773721
4096,134217728,sin(0x)cos(0y),0,0,Bzip2,3286,2.44826078414917e-5,8.175322225
4096,134217728,sin(0x)cos(0y),0,0,LZ4Fast,2539520,0.0189208984375,0.177336937
4096,134217728,sin(0x)cos(0y),0,0,LZ4Frame,595981,0.00444040447473526,0.034719766
4096,134217728,sin(0x)cos(0y),0,0,Xz,36924,0.00027510523796081543,1.615180578
4096,134217728,sin(0x)cos(0y),0,0,Zlib,171027,0.0012742504477500916,0.398765175
4096,134217728,sin(0x)cos(0y),0,0,Zstd,40981,0.0003053322434425354,0.030256289
16,2048,sin(5x)cos(5y),5,5,Bzip2,215,0.10498046875,0.000140179
16,2048,sin(5x)cos(5y),5,5,LZ4Fast,134,0.0654296875,7.48e-6
16,2048,sin(5x)cos(5y),5,5,LZ4Frame,132,0.064453125,9.389e-6
16,2048,sin(5x)cos(5y),5,5,Xz,176,0.0859375,0.001272948
16,2048,sin(5x)cos(5y),5,5,Zlib,121,0.05908203125,3.9757e-5
16,2048,sin(5x)cos(5y),5,5,Zstd,112,0.0546875,8.0303e-5
32,8192,sin(5x)cos(5y),5,5,Bzip2,428,0.05224609375,0.000474019
32,8192,sin(5x)cos(5y),5,5,LZ4Fast,333,0.0406494140625,8.633e-6
32,8192,sin(5x)cos(5y),5,5,LZ4Frame,254,0.031005859375,5.081e-6
32,8192,sin(5x)cos(5y),5,5,Xz,288,0.03515625,0.000970877
32,8192,sin(5x)cos(5y),5,5,Zlib,274,0.033447265625,7.5497e-5
32,8192,sin(5x)cos(5y),5,5,Zstd,206,0.025146484375,8.0672e-5
64,32768,sin(5x)cos(5y),5,5,Bzip2,885,0.027008056640625,0.00408383
64,32768,sin(5x)cos(5y),5,5,LZ4Fast,953,0.029083251953125,1.6871e-5
64,32768,sin(5x)cos(5y),5,5,LZ4Frame,555,0.016937255859375,1.2151e-5
64,32768,sin(5x)cos(5y),5,5,Xz,492,0.0150146484375,0.001334204
64,32768,sin(5x)cos(5y),5,5,Zlib,582,0.01776123046875,0.000155087
64,32768,sin(5x)cos(5y),5,5,Zstd,399,0.012176513671875,7.1875e-5
128,131072,sin(5x)cos(5y),5,5,Bzip2,1717,0.01309967041015625,0.018217826
128,131072,sin(5x)cos(5y),5,5,LZ4Fast,2975,0.02269744873046875,5.1036e-5
128,131072,sin(5x)cos(5y),5,5,LZ4Frame,1360,0.0103759765625,1.3951e-5
128,131072,sin(5x)cos(5y),5,5,Xz,832,0.00634765625,0.004428654
128,131072,sin(5x)cos(5y),5,5,Zlib,1461,0.01114654541015625,0.000421494
128,131072,sin(5x)cos(5y),5,5,Zstd,750,0.0057220458984375,7.3278e-5
256,524288,sin(5x)cos(5y),5,5,Bzip2,3332,0.00635528564453125,0.095767828
256,524288,sin(5x)cos(5y),5,5,LZ4Fast,316606,0.6038780212402344,0.000760164
256,524288,sin(5x)cos(5y),5,5,LZ4Frame,8972,0.01711273193359375,4.9218e-5
256,524288,sin(5x)cos(5y),5,5,Xz,1468,0.00279998779296875,0.008511818
256,524288,sin(5x)cos(5y),5,5,Zlib,4392,0.0083770751953125,0.001596669
256,524288,sin(5x)cos(5y),5,5,Zstd,1624,0.0030975341796875,0.00019079
512,2097152,sin(5x)cos(5y),5,5,Bzip2,21520,0.01026153564453125,0.526782091
512,2097152,sin(5x)cos(5y),5,5,LZ4Fast,1782080,0.849761962890625,0.002428928
512,2097152,sin(5x)cos(5y),5,5,LZ4Frame,66747,0.031827449798583984,0.000650268
512,2097152,sin(5x)cos(5y),5,5,Xz,2864,0.00136566162109375,0.027643389
512,2097152,sin(5x)cos(5y),5,5,Zlib,15351,0.007319927215576172,0.006792254
512,2097152,sin(5x)cos(5y),5,5,Zstd,3494,0.0016660690307617188,0.000483558
1024,8388608,sin(5x)cos(5y),5,5,Bzip2,135265,0.016124844551086426,2.130295948
1024,8388608,sin(5x)cos(5y),5,5,LZ4Fast,7754093,0.924359917640686,0.008123801
1024,8388608,sin(5x)cos(5y),5,5,LZ4Frame,522507,0.06228768825531006,0.001250056
1024,8388608,sin(5x)cos(5y),5,5,Xz,5936,0.0007076263427734375,0.107265275
1024,8388608,sin(5x)cos(5y),5,5,Zlib,59119,0.007047533988952637,0.025808289
1024,8388608,sin(5x)cos(5y),5,5,Zstd,7771,0.0009263753890991211,0.002102809
2048,33554432,sin(5x)cos(5y),5,5,Bzip2,911713,0.027171164751052856,10.728432545
2048,33554432,sin(5x)cos(5y),5,5,LZ4Fast,32422269,0.9662589132785797,0.188020203
2048,33554432,sin(5x)cos(5y),5,5,LZ4Frame,4232204,0.12612950801849365,0.007449076
2048,33554432,sin(5x)cos(5y),5,5,Xz,13720,0.0004088878631591797,0.430408589
2048,33554432,sin(5x)cos(5y),5,5,Zlib,240150,0.007157027721405029,0.106914413
2048,33554432,sin(5x)cos(5y),5,5,Zstd,20421,0.000608593225479126,0.006127899
4096,134217728,sin(5x)cos(5y),5,5,Bzip2,6813880,0.050767362117767334,32.542456175
4096,134217728,sin(5x)cos(5y),5,5,LZ4Fast,132649327,0.9883145019412041,0.40921666
4096,134217728,sin(5x)cos(5y),5,5,LZ4Frame,33878029,0.25241098552942276,0.042992371
4096,134217728,sin(5x)cos(5y),5,5,Xz,36604,0.0002727210521697998,2.205708296
4096,134217728,sin(5x)cos(5y),5,5,Zlib,50707778,0.37780238687992096,1.664126791
4096,134217728,sin(5x)cos(5y),5,5,Zstd,53596,0.0003993213176727295,0.023080184
16,2048,sin(10x)cos(10y),10,10,Bzip2,220,0.107421875,0.000144442
16,2048,sin(10x)cos(10y),10,10,LZ4Fast,140,0.068359375,9.097e-6
16,2048,sin(10x)cos(10y),10,10,LZ4Frame,138,0.0673828125,7.159e-6
16,2048,sin(10x)cos(10y),10,10,Xz,172,0.083984375,0.001295739
16,2048,sin(10x)cos(10y),10,10,Zlib,122,0.0595703125,4.0717e-5
16,2048,sin(10x)cos(10y),10,10,Zstd,110,0.0537109375,7.9754e-5
32,8192,sin(10x)cos(10y),10,10,Bzip2,425,0.0518798828125,0.000473841
32,8192,sin(10x)cos(10y),10,10,LZ4Fast,332,0.04052734375,9.086e-6
32,8192,sin(10x)cos(10y),10,10,LZ4Frame,250,0.030517578125,5.466e-6
32,8192,sin(10x)cos(10y),10,10,Xz,288,0.03515625,0.000958758
32,8192,sin(10x)cos(10y),10,10,Zlib,270,0.032958984375,5.9673e-5
32,8192,sin(10x)cos(10y),10,10,Zstd,202,0.024658203125,7.921e-5
64,32768,sin(10x)cos(10y),10,10,Bzip2,930,0.02838134765625,0.004159682
64,32768,sin(10x)cos(10y),10,10,LZ4Fast,957,0.029205322265625,1.6655e-5
64,32768,sin(10x)cos(10y),10,10,LZ4Frame,559,0.017059326171875,1.7469e-5
64,32768,sin(10x)cos(10y),10,10,Xz,500,0.0152587890625,0.002964288
64,32768,sin(10x)cos(10y),10,10,Zlib,592,0.01806640625,0.000151976
64,32768,sin(10x)cos(10y),10,10,Zstd,400,0.01220703125,0.000459492
128,131072,sin(10x)cos(10y),10,10,Bzip2,1718,0.0131072998046875,0.018463073
128,131072,sin(10x)cos(10y),10,10,LZ4Fast,2971,0.02266693115234375,4.8644e-5
128,131072,sin(10x)cos(10y),10,10,LZ4Frame,1352,0.01031494140625,1.5622e-5
128,131072,sin(10x)cos(10y),10,10,Xz,836,0.006378173828125,0.003140345
128,131072,sin(10x)cos(10y),10,10,Zlib,1469,0.01120758056640625,0.000431252
128,131072,sin(10x)cos(10y),10,10,Zstd,759,0.00579071044921875,9.6095e-5
256,524288,sin(10x)cos(10y),10,10,Bzip2,3325,0.0063419342041015625,0.092991859
256,524288,sin(10x)cos(10y),10,10,LZ4Fast,320212,0.6107559204101562,0.000761888
256,524288,sin(10x)cos(10y),10,10,LZ4Frame,9092,0.01734161376953125,5.6587e-5
256,524288,sin(10x)cos(10y),10,10,Xz,1496,0.0028533935546875,0.008350225
256,524288,sin(10x)cos(10y),10,10,Zlib,4396,0.00838470458984375,0.001876706
256,524288,sin(10x)cos(10y),10,10,Zstd,1612,0.00307464599609375,0.000207865
512,2097152,sin(10x)cos(10y),10,10,Bzip2,21655,0.010325908660888672,0.593297131
512,2097152,sin(10x)cos(10y),10,10,LZ4Fast,1790284,0.8536739349365234,0.002374137
512,2097152,sin(10x)cos(10y),10,10,LZ4Frame,66468,0.03169441223144531,0.000238163
512,2097152,sin(10x)cos(10y),10,10,Xz,2920,0.001392364501953125,0.028187458
512,2097152,sin(10x)cos(10y),10,10,Zlib,15360,0.00732421875,0.006604547
512,2097152,sin(10x)cos(10y),10,10,Zstd,3527,0.0016818046569824219,0.000870099
1024,8388608,sin(10x)cos(10y),10,10,Bzip2,134293,0.016008973121643066,2.203822057
1024,8388608,sin(10x)cos(10y),10,10,LZ4Fast,7780728,0.9275350570678711,0.008174579
1024,8388608,sin(10x)cos(10y),10,10,LZ4Frame,522764,0.06231832504272461,0.001256982
1024,8388608,sin(10x)cos(10y),10,10,Xz,6048,0.000720977783203125,0.109235083
1024,8388608,sin(10x)cos(10y),10,10,Zlib,59129,0.0070487260818481445,0.026434899
1024,8388608,sin(10x)cos(10y),10,10,Zstd,7762,0.0009253025054931641,0.001636926
2048,33554432,sin(10x)cos(10y),10,10,Bzip2,916509,0.027314096689224243,8.248636502
2048,33554432,sin(10x)cos(10y),10,10,LZ4Fast,32446847,0.9669913947582245,0.054124106
2048,33554432,sin(10x)cos(10y),10,10,LZ4Frame,4222732,0.1258472204208374,0.140609752
2048,33554432,sin(10x)cos(10y),10,10,Xz,13976,0.0004165172576904297,0.445654759
2048,33554432,sin(10x)cos(10y),10,10,Zlib,240192,0.0071582794189453125,0.105729344
2048,33554432,sin(10x)cos(10y),10,10,Zstd,20466,0.0006099343299865723,0.006079595
4096,134217728,sin(10x)cos(10y),10,10,Bzip2,6925154,0.051596418023109436,32.77976375
4096,134217728,sin(10x)cos(10y),10,10,LZ4Fast,132632938,0.9881923943758011,0.416826391
4096,134217728,sin(10x)cos(10y),10,10,LZ4Frame,33887243,0.2524796351790428,0.044546727
4096,134217728,sin(10x)cos(10y),10,10,Xz,37144,0.00027674436569213867,2.215150852
4096,134217728,sin(10x)cos(10y),10,10,Zlib,52405239,0.3904494568705559,1.703629277
4096,134217728,sin(10x)cos(10y),10,10,Zstd,53661,0.00039980560541152954,0.022967017
16,2048,sin(15x)cos(15y),15,15,Bzip2,221,0.10791015625,0.000145982
16,2048,sin(15x)cos(15y),15,15,LZ4Fast,139,0.06787109375,7.063e-6
16,2048,sin(15x)cos(15y),15,15,LZ4Frame,137,0.06689453125,7.797e-6
16,2048,sin(15x)cos(15y),15,15,Xz,180,0.087890625,0.001260858
16,2048,sin(15x)cos(15y),15,15,Zlib,126,0.0615234375,3.902e-5
16,2048,sin(15x)cos(15y),15,15,Zstd,115,0.05615234375,8.0687e-5
32,8192,sin(15x)cos(15y),15,15,Bzip2,415,0.0506591796875,0.000471276
32,8192,sin(15x)cos(15y),15,15,LZ4Fast,329,0.0401611328125,9.445e-6
32,8192,sin(15x)cos(15y),15,15,LZ4Frame,250,0.030517578125,6.789e-6
32,8192,sin(15x)cos(15y),15,15,Xz,288,0.03515625,0.001749835
32,8192,sin(15x)cos(15y),15,15,Zlib,269,0.0328369140625,5.9088e-5
32,8192,sin(15x)cos(15y),15,15,Zstd,202,0.024658203125,8.0803e-5
64,32768,sin(15x)cos(15y),15,15,Bzip2,905,0.027618408203125,0.004134872
64,32768,sin(15x)cos(15y),15,15,LZ4Fast,948,0.0289306640625,1.6429e-5
64,32768,sin(15x)cos(15y),15,15,LZ4Frame,550,0.01678466796875,1.9365e-5
64,32768,sin(15x)cos(15y),15,15,Xz,492,0.0150146484375,0.002333489
64,32768,sin(15x)cos(15y),15,15,Zlib,583,0.017791748046875,0.000127079
64,32768,sin(15x)cos(15y),15,15,Zstd,394,0.01202392578125,0.000628481
128,131072,sin(15x)cos(15y),15,15,Bzip2,1718,0.0131072998046875,0.018301841
128,131072,sin(15x)cos(15y),15,15,LZ4Fast,2985,0.02277374267578125,4.7204e-5
128,131072,sin(15x)cos(15y),15,15,LZ4Frame,1366,0.0104217529296875,1.7827e-5
128,131072,sin(15x)cos(15y),15,15,Xz,848,0.0064697265625,0.003593179
128,131072,sin(15x)cos(15y),15,15,Zlib,1474,0.0112457275390625,0.000528748
128,131072,sin(15x)cos(15y),15,15,Zstd,796,0.006072998046875,9.5484e-5
256,524288,sin(15x)cos(15y),15,15,Bzip2,3344,0.006378173828125,0.101334399
256,524288,sin(15x)cos(15y),15,15,LZ4Fast,314570,0.5999946594238281,0.000757087
256,524288,sin(15x)cos(15y),15,15,LZ4Frame,8976,0.017120361328125,5.1519e-5
256,524288,sin(15x)cos(15y),15,15,Xz,1508,0.00287628173828125,0.009073314
256,524288,sin(15x)cos(15y),15,15,Zlib,4401,0.008394241333007812,0.001618685
256,524288,sin(15x)cos(15y),15,15,Zstd,1612,0.00307464599609375,0.000196245
512,2097152,sin(15x)cos(15y),15,15,Bzip2,21683,0.01033926010131836,0.581364412
512,2097152,sin(15x)cos(15y),15,15,LZ4Fast,1792316,0.8546428680419922,0.002436141
512,2097152,sin(15x)cos(15y),15,15,LZ4Frame,76071,0.03627347946166992,0.000276232
512,2097152,sin(15x)cos(15y),15,15,Xz,2932,0.0013980865478515625,0.028865275
512,2097152,sin(15x)cos(15y),15,15,Zlib,15394,0.007340431213378906,0.006379887
512,2097152,sin(15x)cos(15y),15,15,Zstd,3517,0.0016770362854003906,0.000609766
1024,8388608,sin(15x)cos(15y),15,15,Bzip2,134529,0.01603710651397705,2.405427457
1024,8388608,sin(15x)cos(15y),15,15,LZ4Fast,7827781,0.933144211769104,0.007881051
1024,8388608,sin(15x)cos(15y),15,15,LZ4Frame,530956,0.06329488754272461,0.001159782
1024,8388608,sin(15x)cos(15y),15,15,Xz,6100,0.0007271766662597656,0.108713067
1024,8388608,sin(15x)cos(15y),15,15,Zlib,59188,0.007055759429931641,0.026588845
1024,8388608,sin(15x)cos(15y),15,15,Zstd,7844,0.0009350776672363281,0.001678659
2048,33554432,sin(15x)cos(15y),15,15,Bzip2,927981,0.027655988931655884,10.058968659
2048,33554432,sin(15x)cos(15y),15,15,LZ4Fast,32481652,0.9680286645889282,0.054322904
2048,33554432,sin(15x)cos(15y),15,15,LZ4Frame,4236045,0.1262439787387848,0.140608598
2048,33554432,sin(15x)cos(15y),15,15,Xz,14124,0.0004209280014038086,0.450071327
2048,33554432,sin(15x)cos(15y),15,15,Zlib,240258,0.0071602463722229,0.105648383
2048,33554432,sin(15x)cos(15y),15,15,Zstd,20497,0.0006108582019805908,0.006060419
4096,134217728,sin(15x)cos(15y),15,15,Bzip2,6870954,0.051192596554756165,32.809562136
4096,134217728,sin(15x)cos(15y),15,15,LZ4Fast,132837690,0.9897179156541824,0.40717507
4096,134217728,sin(15x)cos(15y),15,15,LZ4Frame,33928203,0.2527848109602928,0.045742679
4096,134217728,sin(15x)cos(15y),15,15,Xz,37556,0.0002798140048980713,2.251569753
4096,134217728,sin(15x)cos(15y),15,15,Zlib,53617657,0.39948267489671707,1.747255087
4096,134217728,sin(15x)cos(15y),15,15,Zstd,54625,0.0004069879651069641,0.022720653
16,2048,sin(20x)cos(20y),20,20,Bzip2,213,0.10400390625,0.000146947
16,2048,sin(20x)cos(20y),20,20,LZ4Fast,137,0.06689453125,6.865e-6
16,2048,sin(20x)cos(20y),20,20,LZ4Frame,135,0.06591796875,7.613e-6
16,2048,sin(20x)cos(20y),20,20,Xz,172,0.083984375,0.001717435
16,2048,sin(20x)cos(20y),20,20,Zlib,118,0.0576171875,3.9002e-5
16,2048,sin(20x)cos(20y),20,20,Zstd,113,0.05517578125,8.2751e-5
32,8192,sin(20x)cos(20y),20,20,Bzip2,435,0.0531005859375,0.000469852
32,8192,sin(20x)cos(20y),20,20,LZ4Fast,336,0.041015625,8.506e-6
32,8192,sin(20x)cos(20y),20,20,LZ4Frame,257,0.0313720703125,5.766e-6
32,8192,sin(20x)cos(20y),20,20,Xz,292,0.03564453125,0.001567922
32,8192,sin(20x)cos(20y),20,20,Zlib,275,0.0335693359375,6.2275e-5
32,8192,sin(20x)cos(20y),20,20,Zstd,210,0.025634765625,7.7403e-5
64,32768,sin(20x)cos(20y),20,20,Bzip2,895,0.027313232421875,0.004032472
64,32768,sin(20x)cos(20y),20,20,LZ4Fast,949,0.028961181640625,1.6219e-5
64,32768,sin(20x)cos(20y),20,20,LZ4Frame,558,0.01702880859375,9.58e-6
64,32768,sin(20x)cos(20y),20,20,Xz,488,0.014892578125,0.001862366
64,32768,sin(20x)cos(20y),20,20,Zlib,582,0.01776123046875,0.000151662
64,32768,sin(20x)cos(20y),20,20,Zstd,390,0.01190185546875,7.1402e-5
128,131072,sin(20x)cos(20y),20,20,Bzip2,1702,0.0129852294921875,0.018478928
128,131072,sin(20x)cos(20y),20,20,LZ4Fast,2968,0.02264404296875,4.8562e-5
128,131072,sin(20x)cos(20y),20,20,LZ4Frame,1352,0.01031494140625,1.7394e-5
128,131072,sin(20x)cos(20y),20,20,Xz,844,0.006439208984375,0.002656308
128,131072,sin(20x)cos(20y),20,20,Zlib,1464,0.01116943359375,0.000535063
128,131072,sin(20x)cos(20y),20,20,Zstd,756,0.005767822265625,9.6176e-5
