n,size,sparsity,compression,compressed_size,ratio,time
16,2048,0.05,BGZF,170,0.0830078125,7.4458e-5
16,2048,0.05,Bzip2,207,0.10107421875,6.8709e-5
16,2048,0.05,LZ4Fast,183,0.08935546875,1.0416e-5
16,2048,0.05,LZ4Frame,179,0.08740234375,2.0417e-5
16,2048,0.05,Xz,212,0.103515625,0.000554666
16,2048,0.05,Zlib,151,0.07373046875,4.175e-5
16,2048,0.05,Zstd,155,0.07568359375,9.8375e-5
16,2048,0.1,BGZF,309,0.15087890625,6.475e-5
16,2048,0.1,Bzip2,392,0.19140625,0.000110959
16,2048,0.1,LZ4Fast,357,0.17431640625,4.75e-6
16,2048,0.1,LZ4Frame,354,0.1728515625,1.2375e-5
16,2048,0.1,Xz,352,0.171875,0.000494292
16,2048,0.1,Zlib,292,0.142578125,3.8542e-5
16,2048,0.1,Zstd,296,0.14453125,9.9625e-5
16,2048,0.15,BGZF,383,0.18701171875,4.8959e-5
16,2048,0.15,Bzip2,473,0.23095703125,0.007004834
16,2048,0.15,LZ4Fast,436,0.212890625,1.1333e-5
16,2048,0.15,LZ4Frame,433,0.21142578125,9.5e-6
16,2048,0.15,Xz,424,0.20703125,0.000518375
16,2048,0.15,Zlib,365,0.17822265625,4.3667e-5
16,2048,0.15,Zstd,382,0.1865234375,6.5959e-5
16,2048,0.2,BGZF,513,0.25048828125,6.6959e-5
16,2048,0.2,Bzip2,618,0.3017578125,0.0001565
16,2048,0.2,LZ4Fast,578,0.2822265625,5.208e-6
16,2048,0.2,LZ4Frame,575,0.28076171875,1.1875e-5
16,2048,0.2,Xz,556,0.271484375,0.00059625
16,2048,0.2,Zlib,497,0.24267578125,4.8958e-5
16,2048,0.2,Zstd,511,0.24951171875,5.3e-5
16,2048,0.25,BGZF,726,0.3544921875,5.5042e-5
16,2048,0.25,Bzip2,847,0.41357421875,0.000212
16,2048,0.25,LZ4Fast,816,0.3984375,5.667e-6
16,2048,0.25,LZ4Frame,822,0.4013671875,1.025e-5
16,2048,0.25,Xz,764,0.373046875,0.000639125
16,2048,0.25,Zlib,709,0.34619140625,5.8042e-5
16,2048,0.25,Zstd,711,0.34716796875,5.0875e-5
16,2048,0.3,BGZF,762,0.3720703125,5.15e-5
16,2048,0.3,Bzip2,915,0.44677734375,0.000225041
16,2048,0.3,LZ4Fast,848,0.4140625,5.417e-6
16,2048,0.3,LZ4Frame,847,0.41357421875,7.083e-6
16,2048,0.3,Xz,796,0.388671875,0.000607667
16,2048,0.3,Zlib,745,0.36376953125,5.4959e-5
16,2048,0.3,Zstd,748,0.365234375,4.5125e-5
16,2048,0.35,BGZF,767,0.37451171875,0.002050708
16,2048,0.35,Bzip2,896,0.4375,0.000222208
16,2048,0.35,LZ4Fast,833,0.40673828125,5.875e-6
16,2048,0.35,LZ4Frame,839,0.40966796875,7.125e-6
16,2048,0.35,Xz,788,0.384765625,0.000604958
16,2048,0.35,Zlib,749,0.36572265625,5.5167e-5
16,2048,0.35,Zstd,748,0.365234375,8.7292e-5
16,2048,0.4,BGZF,947,0.46240234375,6.6583e-5
16,2048,0.4,Bzip2,1104,0.5390625,0.000254583
16,2048,0.4,LZ4Fast,1036,0.505859375,5.542e-6
16,2048,0.4,LZ4Frame,1044,0.509765625,1.1958e-5
16,2048,0.4,Xz,964,0.470703125,0.000601834
16,2048,0.4,Zlib,928,0.453125,6.2875e-5
16,2048,0.4,Zstd,913,0.44580078125,5.3792e-5
16,2048,0.45,BGZF,1065,0.52001953125,5.7917e-5
16,2048,0.45,Bzip2,1239,0.60498046875,0.000536625
16,2048,0.45,LZ4Fast,1152,0.5625,5.667e-6
16,2048,0.45,LZ4Frame,1153,0.56298828125,3.8583e-5
16,2048,0.45,Xz,1068,0.521484375,0.000587584
16,2048,0.45,Zlib,1045,0.51025390625,5.7209e-5
16,2048,0.45,Zstd,1015,0.49560546875,7.9834e-5
16,2048,0.5,BGZF,1210,0.5908203125,5.3583e-5
16,2048,0.5,Bzip2,1437,0.70166015625,0.0002955
16,2048,0.5,LZ4Fast,1289,0.62939453125,5.625e-6
