n,size,sparsity,compression,compressed_size,ratio,time
16,2048,0.05,Bzip2,218,0.1064453125,8.0474e-5
16,2048,0.05,LZ4Fast,215,0.10498046875,9.189e-6
16,2048,0.05,LZ4Frame,216,0.10546875,1.3325e-5
16,2048,0.05,Xz,228,0.111328125,0.002220485
16,2048,0.05,Zlib,168,0.08203125,4.3111e-5
16,2048,0.05,Zstd,176,0.0859375,0.000695974
16,2048,0.1,Bzip2,311,0.15185546875,0.000505652
16,2048,0.1,LZ4Fast,275,0.13427734375,5.324e-6
16,2048,0.1,LZ4Frame,272,0.1328125,6.405e-6
16,2048,0.1,Xz,288,0.140625,0.002364991
16,2048,0.1,Zlib,221,0.10791015625,4.0101e-5
16,2048,0.1,Zstd,234,0.1142578125,0.000295536
16,2048,0.15,Bzip2,423,0.20654296875,0.000133887
16,2048,0.15,LZ4Fast,373,0.18212890625,4.335e-6
16,2048,0.15,LZ4Frame,370,0.1806640625,5.279e-6
16,2048,0.15,Xz,376,0.18359375,0.001846707
16,2048,0.15,Zlib,311,0.15185546875,4.6676e-5
16,2048,0.15,Zstd,323,0.15771484375,8.6569e-5
16,2048,0.2,Bzip2,612,0.298828125,0.013941964
16,2048,0.2,LZ4Fast,608,0.296875,6.987e-6
16,2048,0.2,LZ4Frame,605,0.29541015625,6.78e-6
16,2048,0.2,Xz,572,0.279296875,0.001142901
16,2048,0.2,Zlib,515,0.25146484375,6.6802e-5
16,2048,0.2,Zstd,516,0.251953125,8.9973e-5
16,2048,0.25,Bzip2,643,0.31396484375,0.000203549
16,2048,0.25,LZ4Fast,623,0.30419921875,5.624e-6
16,2048,0.25,LZ4Frame,627,0.30615234375,6.482e-6
16,2048,0.25,Xz,604,0.294921875,0.000877693
16,2048,0.25,Zlib,553,0.27001953125,6.0557e-5
16,2048,0.25,Zstd,555,0.27099609375,7.734e-5
16,2048,0.3,Bzip2,854,0.4169921875,0.000282965
16,2048,0.3,LZ4Fast,816,0.3984375,5.786e-6
16,2048,0.3,LZ4Frame,817,0.39892578125,6.312e-6
16,2048,0.3,Xz,756,0.369140625,0.001923105
16,2048,0.3,Zlib,703,0.34326171875,6.5362e-5
16,2048,0.3,Zstd,701,0.34228515625,9.2527e-5
16,2048,0.35,Bzip2,1090,0.5322265625,0.000337822
16,2048,0.35,LZ4Fast,1009,0.49267578125,6.754e-6
16,2048,0.35,LZ4Frame,1010,0.4931640625,7.041e-6
16,2048,0.35,Xz,948,0.462890625,0.001083034
16,2048,0.35,Zlib,906,0.4423828125,6.9727e-5
16,2048,0.35,Zstd,899,0.43896484375,4.9457e-5
16,2048,0.4,Bzip2,1309,0.63916015625,0.000372683
16,2048,0.4,LZ4Fast,1177,0.57470703125,6.573e-6
16,2048,0.4,LZ4Frame,1178,0.5751953125,6.991e-6
16,2048,0.4,Xz,1116,0.544921875,0.002172067
16,2048,0.4,Zlib,1095,0.53466796875,6.8495e-5
16,2048,0.4,Zstd,1074,0.5244140625,6.7133e-5
16,2048,0.45,Bzip2,1192,0.58203125,0.004270293
16,2048,0.45,LZ4Fast,1102,0.5380859375,6.791e-6
16,2048,0.45,LZ4Frame,1109,0.54150390625,7.782e-6
16,2048,0.45,Xz,1036,0.505859375,0.001709781
16,2048,0.45,Zlib,1007,0.49169921875,7.9172e-5
16,2048,0.45,Zstd,984,0.48046875,0.000151869
16,2048,0.5,Bzip2,1343,0.65576171875,0.000413686
16,2048,0.5,LZ4Fast,1238,0.6044921875,6.859e-6
16,2048,0.5,LZ4Frame,1244,0.607421875,7.234e-6
16,2048,0.5,Xz,1164,0.568359375,0.001156439
16,2048,0.5,Zlib,1140,0.556640625,7.605e-5
16,2048,0.5,Zstd,1135,0.55419921875,0.000108185
16,2048,0.55,Bzip2,1416,0.69140625,0.0004159
16,2048,0.55,LZ4Fast,1299,0.63427734375,6.694e-6
16,2048,0.55,LZ4Frame,1298,0.6337890625,7.163e-6
16,2048,0.55,Xz,1212,0.591796875,0.001402718
16,2048,0.55,Zlib,1193,0.58251953125,7.4098e-5
16,2048,0.55,Zstd,1166,0.5693359375,8.5996e-5
16,2048,0.6,Bzip2,1685,0.82275390625,0.001364418
16,2048,0.6,LZ4Fast,1445,0.70556640625,1.1898e-5
16,2048,0.6,LZ4Frame,1444,0.705078125,7.674e-6
16,2048,0.6,Xz,1392,0.6796875,0.002261735
16,2048,0.6,Zlib,1364,0.666015625,7.9847e-5
16,2048,0.6,Zstd,1346,0.6572265625,7.9553e-5
16,2048,0.65,Bzip2,1734,0.8466796875,0.000490002
16,2048,0.65,LZ4Fast,1571,0.76708984375,1.0124e-5
16,2048,0.65,LZ4Frame,1577,0.77001953125,7.482e-6
16,2048,0.65,Xz,1504,0.734375,0.002381118
16,2048,0.65,Zlib,1473,0.71923828125,7.5615e-5
16,2048,0.65,Zstd,1472,0.71875,8.5139e-5
16,2048,0.7,Bzip2,1800,0.87890625,0.001267139
16,2048,0.7,LZ4Fast,1577,0.77001953125,9.181e-6
16,2048,0.7,LZ4Frame,1581,0.77197265625,7.084e-6
16,2048,0.7,Xz,1516,0.740234375,0.002333323
16,2048,0.7,Zlib,1476,0.720703125,7.6692e-5
16,2048,0.7,Zstd,1480,0.72265625,7.316e-5
16,2048,0.75,Bzip2,1971,0.96240234375,0.000552435
16,2048,0.75,LZ4Fast,1737,0.84814453125,8.098e-6
16,2048,0.75,LZ4Frame,1743,0.85107421875,7.153e-6
16,2048,0.75,Xz,1684,0.822265625,0.000829458
16,2048,0.75,Zlib,1647,0.80419921875,7.4413e-5
16,2048,0.75,Zstd,1671,0.81591796875,0.000284257
16,2048,0.8,Bzip2,2093,1.02197265625,0.001127053
16,2048,0.8,LZ4Fast,1840,0.8984375,6.777e-6
16,2048,0.8,LZ4Frame,1845,0.90087890625,7.075e-6
16,2048,0.8,Xz,1804,0.880859375,0.000843487
16,2048,0.8,Zlib,1756,0.857421875,7.6128e-5
