n,size,Tf,udiff_norm,compression,compressed_size,ratio,time
16,2048,0.5,0.00786317652986085,Bzip2,1311,0.64013671875,0.000335084
16,2048,0.5,0.00786317652986085,LZ4Fast,1255,0.61279296875,8.5e-6
16,2048,0.5,0.00786317652986085,LZ4Frame,1257,0.61376953125,8.25e-6
16,2048,0.5,0.00786317652986085,Xz,936,0.45703125,0.000332208
16,2048,0.5,0.00786317652986085,Zlib,1019,0.49755859375,5.1083e-5
16,2048,0.5,0.00786317652986085,Zstd,863,0.42138671875,0.000106417
16,2048,1.0,0.0024660888303566675,Bzip2,1358,0.6630859375,0.000347
16,2048,1.0,0.0024660888303566675,LZ4Fast,1268,0.619140625,4.292e-6
16,2048,1.0,0.0024660888303566675,LZ4Frame,1273,0.62158203125,4.5e-6
16,2048,1.0,0.0024660888303566675,Xz,972,0.474609375,0.000313334
16,2048,1.0,0.0024660888303566675,Zlib,1037,0.50634765625,4.7833e-5
16,2048,1.0,0.0024660888303566675,Zstd,925,0.45166015625,6.5334e-5
16,2048,1.5,0.0007789094970037798,Bzip2,1379,0.67333984375,0.000344708
16,2048,1.5,0.0007789094970037798,LZ4Fast,1291,0.63037109375,5.625e-6
16,2048,1.5,0.0007789094970037798,LZ4Frame,1293,0.63134765625,8.708e-6
16,2048,1.5,0.0007789094970037798,Xz,988,0.482421875,0.000318959
16,2048,1.5,0.0007789094970037798,Zlib,1047,0.51123046875,5.5208e-5
16,2048,1.5,0.0007789094970037798,Zstd,944,0.4609375,0.000100583
16,2048,2.0,0.00024601714501215003,Bzip2,1388,0.677734375,0.000341833
16,2048,2.0,0.00024601714501215003,LZ4Fast,1278,0.6240234375,4.334e-6
16,2048,2.0,0.00024601714501215003,LZ4Frame,1280,0.625,6.0e-6
16,2048,2.0,0.00024601714501215003,Xz,984,0.48046875,0.000308375
16,2048,2.0,0.00024601714501215003,Zlib,1039,0.50732421875,5.3541e-5
16,2048,2.0,0.00024601714501215003,Zstd,924,0.451171875,6.2916e-5
16,2048,2.5,7.77040668692986e-5,Bzip2,1389,0.67822265625,0.000344625
16,2048,2.5,7.77040668692986e-5,LZ4Fast,1290,0.6298828125,4.5e-6
16,2048,2.5,7.77040668692986e-5,LZ4Frame,1292,0.630859375,8.583e-6
16,2048,2.5,7.77040668692986e-5,Xz,988,0.482421875,0.000330375
16,2048,2.5,7.77040668692986e-5,Zlib,1052,0.513671875,6.9416e-5
16,2048,2.5,7.77040668692986e-5,Zstd,916,0.447265625,0.00010825
16,2048,3.0,2.4542687899778355e-5,Bzip2,1357,0.66259765625,0.0173345
16,2048,3.0,2.4542687899778355e-5,LZ4Fast,1271,0.62060546875,7.083e-6
16,2048,3.0,2.4542687899778355e-5,LZ4Frame,1273,0.62158203125,8.708e-6
16,2048,3.0,2.4542687899778355e-5,Xz,952,0.46484375,0.000334167
16,2048,3.0,2.4542687899778355e-5,Zlib,1026,0.5009765625,5.6708e-5
16,2048,3.0,2.4542687899778355e-5,Zstd,878,0.4287109375,9.475e-5
16,2048,3.5,7.75176324244913e-6,Bzip2,1362,0.6650390625,0.000347375
16,2048,3.5,7.75176324244913e-6,LZ4Fast,1281,0.62548828125,5.416e-6
16,2048,3.5,7.75176324244913e-6,LZ4Frame,1283,0.62646484375,5.625e-6
16,2048,3.5,7.75176324244913e-6,Xz,976,0.4765625,0.00032175
16,2048,3.5,7.75176324244913e-6,Zlib,1034,0.5048828125,5.0417e-5
16,2048,3.5,7.75176324244913e-6,Zstd,923,0.45068359375,9.7959e-5
16,2048,4.0,2.448380292019252e-6,Bzip2,1362,0.6650390625,0.000341333
16,2048,4.0,2.448380292019252e-6,LZ4Fast,1272,0.62109375,4.292e-6
16,2048,4.0,2.448380292019252e-6,LZ4Frame,1274,0.6220703125,5.791e-6
16,2048,4.0,2.448380292019252e-6,Xz,976,0.4765625,0.000310583
16,2048,4.0,2.448380292019252e-6,Zlib,1038,0.5068359375,5.2334e-5
16,2048,4.0,2.448380292019252e-6,Zstd,915,0.44677734375,6.15e-5
16,2048,4.5,7.733164528939748e-7,Bzip2,1361,0.66455078125,0.000350333
16,2048,4.5,7.733164528939748e-7,LZ4Fast,1283,0.62646484375,5.0e-6
16,2048,4.5,7.733164528939748e-7,LZ4Frame,1285,0.62744140625,4.708e-6
16,2048,4.5,7.733164528939748e-7,Xz,984,0.48046875,0.000306625
16,2048,4.5,7.733164528939748e-7,Zlib,1042,0.5087890625,5.1083e-5
16,2048,4.5,7.733164528939748e-7,Zstd,921,0.44970703125,0.000102833
16,2048,5.0,2.442505922248167e-7,Bzip2,1371,0.66943359375,0.000335708
16,2048,5.0,2.442505922248167e-7,LZ4Fast,1266,0.6181640625,4.166e-6
16,2048,5.0,2.442505922248167e-7,LZ4Frame,1270,0.6201171875,6.916e-6
16,2048,5.0,2.442505922248167e-7,Xz,964,0.470703125,0.000304625
16,2048,5.0,2.442505922248167e-7,Zlib,1030,0.5029296875,5.45e-5
